English Word,French Word,Frequency
buried,enterré,57
prince,prince,772
beast,la bête,73
despair,désespoir,54
strong,fort,196
train,train,85
action,action,116
simple,Facile,117
civil,civil,51
plague,peste,94
aside,de côté,466
lovers,les amoureux,61
marry,marier,366
everything,tout,42
afterwards,ensuite,38
together,ensemble,257
bishop,évêque,48
lorenzo,Lorenzo,81
thank,remercier,294
table,gendarme,60
ransom,table,59
feeble,une rançon,37
angel,faible,55
follow,ange,336
elbow,suivre,59
justice,coude,239
sudden,Justice,79
cloten,soudain,110
bassianus,tout à coup,45
treason,cailloter,92
matter,bassianus,357
bought,trahison,51
durst,matière,51
private,acheté,66
nature,durst,385
queen,privé,979
supper,la nature,62
hours,reine,141
wealth,souper,72
protest,heures,53
liberty,richesse,73
triumph,manifestation,48
ready,liberté,143
forest,triomphe,71
weapons,déjà,42
earth,prêt,317
leontes,forêt,150
learn,armes,120
report,Terre,148
because,leontes,187
brother,apprendre,645
niece,appris,64
chaste,rapport,39
hangs,car,37
about,frère,403
merit,nièce,51
villain,chaste,253
freely,bloque,55
found,sur,229
bright,mérite,72
clown,scélérat,350
throw,librement,106
worth,a trouvé,205
stuff,brillant,64
version,pitre,222
silence,jeter,112
sooner,indigne,62
claim,vaut,64
short,des trucs,106
bears,version,107
witness,silence,128
might,plus tôt,500
condition,prétendre,59
answer,proclamer,426
ferdinand,court,53
slander,prochainement,53
people,ours,220
feast,témoin,101
sacred,pourrait,47
alive,puissant,90
bring,état,449
friend,répondre,446
title,Ferdinand,91
fight,calomnie,283
membership,gens,221
salerio,le banquet,48
proper,sacré,65
still,vivant,564
house,apporter,569
tedious,ami,45
trust,Titre,176
satisfied,bats toi,48
farewell,adhésion,353
valentine,salerio,233
claudio,correct,180
embrace,encore,68
court,maison,265
request,fastidieux,67
delight,confiance,56
country,satisfait,183
merry,adieu,170
bearing,Valentin,73
shore,Claudio,57
credit,embrasse,51
these,tribunal,1325
blind,courtoisie,85
return,demande,247
forth,délice,372
whose,pays,618
comes,joyeux,617
shortly,palier,46
affection,rive,76
marcius,crédit,143
tread,celles-ci,43
exeter,aveugle,98
priest,revenir,72
surely,en avant,40
wrath,désormais,57
tears,dont,284
wolsey,vient,101
chamber,prochainement,126
knife,affection,55
lovely,affections,53
alone,Marcius,237
marriage,bande de roulement,119
tailor,Exeter,51
commanded,prêtre,40
thrust,sûrement,54
throne,colère,67
widow,larmes,123
itself,Wolsey,240
according,chambre,45
miranda,couteau,65
consider,charmant,58
before,seul,839
safety,mariage,74
figure,tailleur,41
abide,commandé,37
plead,poussée,48
didst,trône,183
dreams,veuve,46
fearful,lui-même,90
ancient,selon,79
slender,Miranda,111
drops,considérer,53
shine,avant,45
spare,sécurité,61
happiness,figure,57
reignier,respecter,49
waste,plaider,44
cominius,didst,104
thief,rêves,68
unworthy,craintif,36
treasure,ancien,53
provided,mince,253
liege,gouttes,141
henceforth,éclat,40
abuse,de rechange,47
first,bonheur,1172
limbs,règne,47
commercial,déchets,221
parts,cominius,111
goodness,voleur,56
lieutenant,indigne,78
wretch,Trésor,59
ariel,à condition de,93
fortune,Liege,362
flowers,désormais,46
heavy,abuser de,169
souls,première,114
divine,membres,49
ladyship,commercial,44
includes,les pièces,223
dolabella,la bonté,39
breath,lieutenant,230
clothes,misérable,40
naked,Ariel,52
lands,fortune,54
sword,fleurs,355
copies,lourd,446
daughter,âmes,438
empty,Divin,51
maids,Madame,44
behalf,comprend,45
utter,Dolabella,43
weeds,souffle,44
murder,vêtements,76
crave,nu,42
fetch,terres,124
which,épée,2322
double,copies,90
gross,fille,56
brook,vide,84
others,servantes,420
claud,nom,125
awhile,prononcer,102
scorn,mauvaises herbes,108
conduct,meurtre,48
further,demander,190
doing,chercher,75
nought,lequel,58
madness,double,68
commission,brut,48
rascal,ruisseau,61
young,autres,467
doctor,claud,113
throat,Claudio,51
spoke,quelque temps,148
pluck,mépris,139
believe,conduite,240
gallant,plus loin,55
window,Faire,50
presence,néant,106
flourish,la démence,137
blame,commission,83
lordship,coquin,124
dread,Jeune,49
herself,docteur,98
leisure,gorge,63
knows,parlait,213
speak,cueillir,1206
meeting,croyez,53
morning,galant,132
grieve,la fenêtre,40
touch,présence,164
speech,fleurir,128
haste,faire des reproches,163
certain,seigneurie,176
familiar,crainte,37
trumpet,horrible,90
ourselves,se,115
cross,loisir,101
grant,sait,111
smell,parler,51
count,parle,132
perhaps,réunion,45
dwell,Matin,41
golden,pleurer,91
battle,toucher,117
senator,discours,91
heart,chaste,1061
express,hâte,47
tyrant,certain,60
themselves,familier,159
counterfeit,trompette,55
dispatch,nous-mêmes,92
countess,traverser,121
taste,subvention,80
become,odeur,142
coward,Compte,86
athens,compter,72
palace,contrefaire,160
catch,comtesse,76
innocent,pays,52
person,rencontre,152
given,peut-être,191
prize,habiter,47
motion,d'or,81
project,bataille,251
cannot,sénateur,762
sirrah,cœur,148
looks,Express,214
above,tyran,147
